ID06,ED_Name,NUTS4,NUTS3,NUTS2,NUTS1,HP2006abs,HP2011abs,HP2016abs,HP2006rel,HP2011rel,HP2016rel,TOTPOP02,TOTPOP06,TOTPOP11,TOTPOP16,popdep_T,popdep_L,popdep_M,popdep_H,share_T,share_L,share_M,share_H,share,POPCHG06,POPCHG11,POPCHG16,AGEDEP06,AGEDEP11,AGEDEP16,LONEPA06,LONEPA11,LONEPA16,EDLOW_06,EDLOW_11,EDLOW_16,EDHIGH06,EDHIGH11,EDHIGH16,HLPROF06,HLPROF11,HLPROF16,LSKILL06,LSKILL11,LSKILL16,UNEMPM16,UNEMPF16,PEROOM06,PEROOM11,PEROOM16,LARENT06,LARENT11,LARENT16,PRRENT06,PRRENT11,PRRENT16,OHOUSE16
15067,AGHOWLE,Wicklow,Mid East,Southern & Eastern Region,Ireland,-6.4,-10.9,-9.6,-6.4,-4.2,-5.6,225,236,213,242,242,172,80,18,0.01,0.01,0.01,0.01,0.01,0.1,-0.1,0.1,28,30,36.8,16.7,14.3,14.3,30.5,26.3,20.8,18.2,19,22.1,27.1,22.5,28.9,24,19.3,15,14.1,17.8,0.5,0.5,0.5,4.2,2.6,3.7,9.9,5.2,7.3,85.4
15068,BALLINGATE,Wicklow,Mid East,Southern & Eastern Region,Ireland,-3,-13.3,-8.6,-3,-7.1,-4.8,390,388,398,404,404,276,121,26,0.01,0.01,0.01,0.01,0.01,0,0,0,31.4,32.7,36.6,20.5,15.2,9.1,25.7,24.4,19.4,15.4,17.3,24.3,25.3,27.4,33.7,17.1,22.1,23.1,17.7,9,0.5,0.5,0.4,2.5,3,1.4,3.3,3.8,4.9,88.9
15069,BALLINGLEN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-4.7,-8.8,-4,-4.7,-2,-0.2,230,231,230,210,210,106,34,5,0,0,0,0,0,0,0,-0.1,35.1,31.7,30,5,11.5,5,30.6,27.5,17.9,16.3,18.1,29.3,31.2,32.2,35.2,22.9,20,15.4,7.5,12.8,0.5,0.5,0.5,2.9,4.1,2.9,0,2.7,4.4,92.6
15070,BALLYBEG,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1.4,-10.1,-7,-1.4,-3.7,-3.1,178,187,201,184,184,114,45,8,0,0.01,0,0,0,0.1,0.1,-0.1,41.2,35.8,33.7,0,0,6.3,31.1,21.2,17.5,29.1,23.7,27.8,35.8,32.3,36.4,27.6,17.2,34.7,17.5,8.8,0.5,0.5,0.5,3.5,1.6,1.8,0,1.6,0,94.7
15071,CARNEW,Wicklow,Mid East,Southern & Eastern Region,Ireland,-5.7,-15.7,-14.7,-5.7,-9.6,-10.6,"1,453","1,573","1,759","1,701",1701,1372,856,368,0.04,0.06,0.08,0.1,0.07,-0.1,0.4,0,33.4,37.2,37.9,22,27.7,26.8,29.5,25.4,20.7,15.4,16.2,18.5,24.5,24.1,21.8,33,30.5,29.5,22.5,20.4,0.5,0.5,0.5,13.6,17.2,16.6,9.8,10.4,12.1,69.7
15072,COOLATTIN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-7.8,-9.9,-5.4,-7.8,-3.3,-1.6,265,264,290,278,278,156,56,9,0.01,0.01,0.01,0,0.01,0,0.1,0,32.6,35.5,37.1,18.5,25.7,11.5,26.9,25.6,24.7,18.3,19.4,27.5,22.7,32.1,30.9,30.2,20.5,24.1,10.9,3.3,0.5,0.5,0.5,1.1,1.1,3.5,18.2,5.3,3.5,85.9
15073,COOLBALLINTAGGART,Wicklow,Mid East,Southern & Eastern Region,Ireland,-0.5,-13,-7.5,-0.5,-6.5,-3.2,411,420,461,491,491,304,125,25,0.01,0.01,0.01,0.01,0.01,0,0.1,0.1,31,37.3,37.1,15.7,18.1,15.5,21.1,19.3,17.7,18.3,15.2,22.8,27.6,22.1,21.8,30.9,30,28.4,15,4.5,0.6,0.5,0.5,5.8,11.1,10.7,0.8,2,4.2,83.3
15074,COOLBOY,Wicklow,Mid East,Southern & Eastern Region,Ireland,-2,-13.5,-8.3,-2,-7.2,-3.9,443,462,546,597,597,389,163,33,0.01,0.02,0.02,0.01,0.01,0,0.2,0.1,35.1,38.1,36.2,25.7,15.4,12.3,28,23.5,20.7,20.3,20.3,24.9,29,26.6,27.8,26.9,25.5,31.4,16.9,12.9,0.6,0.5,0.5,6.6,6.2,5.7,0.7,4.5,5.2,88.6
15075,CRONELEA,Wicklow,Mid East,Southern & Eastern Region,Ireland,-9.9,-16,-8,-9.9,-9.9,-4.4,180,173,190,178,178,119,51,11,0,0.01,0,0,0,0,0.1,-0.1,31.2,38.4,39.3,25,30,6.3,38.5,25.8,20.7,13.8,12.9,17.2,35.3,26.3,25.3,19.4,20.4,33.1,5.8,9.1,0.5,0.5,0.4,3.4,4.8,4.8,3.4,6.3,8.1,82.3
15076,KILBALLYOWEN,Wicklow,Mid East,Southern & Eastern Region,Ireland,4.6,-6.8,-2.4,4.6,-0.4,1.4,277,292,345,348,348,155,44,6,0.01,0.01,0,0,0,0.1,0.2,0,26.7,35.9,37.6,12.1,19.6,13.6,19.5,14,11,24,23.1,27.9,36.6,40.3,39.4,14.8,10.9,20.7,7.2,8.2,0.5,0.5,0.4,2,1.8,1.6,1,1.8,3.3,92.7
15077,KILLINURE,Wicklow,Mid East,Southern & Eastern Region,Ireland,-5.4,-13.4,-8.4,-5.4,-7.1,-4.2,350,352,340,334,334,221,94,19,0.01,0.01,0.01,0.01,0.01,0,0,0,32.4,33.5,33.5,18.9,16.2,13.5,22.2,22.2,19.4,25.3,17.5,24.3,29,25.6,25.7,24.2,24.1,29.2,9.6,21.7,0.5,0.5,0.5,7,5.4,5.2,5.3,6.3,3.4,85.3
15078,KILPIPE,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1,-8.2,-1.2,-1,-1.7,2.4,368,380,406,427,427,172,46,5,0.01,0.01,0,0,0.01,0,0.1,0.1,38.7,36.9,38.2,7.3,13.6,16.7,30,26.6,21.2,20.2,21.6,28.5,38.9,40.1,41.5,20.8,19.5,17.7,5,7.7,0.5,0.5,0.5,2.6,2.2,2.8,4.3,4.4,6.3,89.5
15079,MONEY,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1.8,-2.3,-2.9,-1.8,4.6,0.6,124,138,149,141,141,67,20,3,0,0,0,0,0,0.1,0.1,-0.1,29.7,29.5,37.6,14.3,15.4,14.3,27.3,20,16.8,26.3,33.7,36.6,36.2,45,48.9,15.3,17.4,16.1,8.3,18.9,0.5,0.4,0.5,2.3,2,2.2,0,4,0,95.6
15080,RATH,Wicklow,Mid East,Southern & Eastern Region,Ireland,6.2,-8.2,-3.5,6.2,-1.8,0.4,272,271,261,277,277,134,41,6,0.01,0.01,0,0,0,0,0,0.1,33.2,36,35.4,15.4,9.4,7.4,22.7,20.2,17.3,29.8,22.6,30.2,37.3,41.8,38.6,15.8,16.8,17.2,11.4,7.7,0.5,0.4,0.5,0,0,0,2.6,4.4,6.3,90.5
15081,SHILLELAGH,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1.5,-9.2,-7.9,-1.5,-2.7,-3.7,519,562,595,589,589,379,158,32,0.01,0.02,0.01,0.01,0.01,0.1,0.1,0,29.7,33.9,34.8,17.9,19.2,18.6,21.9,16,13.9,22.4,26.1,31.6,22.1,30.9,33.8,35.3,26,26,20.7,12.4,0.5,0.5,0.5,12.1,11,13.9,10.4,11.5,12.4,71.8
15082,TINAHELY,Wicklow,Mid East,Southern & Eastern Region,Ireland,-3.3,-12.7,-9.2,-3.3,-6.5,-5.2,"1,366","1,508","1,536","1,507",1507,1031,491,130,0.03,0.05,0.05,0.04,0.04,0.1,0,0,34.3,36.6,37.6,18.8,19.1,22,24,21.6,16.2,22.7,21,24.5,30,27.7,30,27.6,26.4,24.2,13.4,16.9,0.5,0.5,0.5,12.9,13.9,14.9,8.9,10.6,11.1,72.2
