ID06,ED_Name,NUTS4,NUTS3,NUTS2,NUTS1,HP2006abs,HP2011abs,HP2016abs,HP2006rel,HP2011rel,HP2016rel,TOTPOP02,TOTPOP06,TOTPOP11,TOTPOP16,popdep_T,popdep_L,popdep_M,popdep_H,share_T,share_L,share_M,share_H,share,POPCHG06,POPCHG11,POPCHG16,AGEDEP06,AGEDEP11,AGEDEP16,LONEPA06,LONEPA11,LONEPA16,EDLOW_06,EDLOW_11,EDLOW_16,EDHIGH06,EDHIGH11,EDHIGH16,HLPROF06,HLPROF11,HLPROF16,LSKILL06,LSKILL11,LSKILL16,UNEMPM16,UNEMPF16,PEROOM06,PEROOM11,PEROOM16,LARENT06,LARENT11,LARENT16,PRRENT06,PRRENT11,PRRENT16,OHOUSE16
15034,GREYSTONES,Wicklow,Mid East,Southern & Eastern Region,Ireland,7.1,2.6,5.8,7.1,9.3,9.4,"7,181","7,087","7,151","7,258",7258,1503,337,42,0.15,0.07,0.03,0.01,0.07,0,0,0,33.1,35.2,37.7,16.8,15.6,12,8,6.7,5.3,47.5,47.1,53.8,55.6,58.9,59.2,6.9,6.5,6.6,7.6,6.6,0.5,0.5,0.5,3.3,3.1,2.9,8.2,13.1,11.7,84
15035,KILMACANOGE,Wicklow,Mid East,Southern & Eastern Region,Ireland,1.9,-3.8,-0.7,1.9,2.9,3.6,"13,509","13,798","14,043","14,706",14706,5668,2401,688,0.31,0.25,0.22,0.19,0.24,0,0,0.1,30.2,31,33,25.3,24.6,22.1,13,12,10.2,35.6,33.4,39,37.3,39.1,40.2,15.8,14.8,15,11.9,10,0.5,0.5,0.6,12.6,12.4,12.1,9.9,13.4,13,73.9
15036,POWERSCOURT,Wicklow,Mid East,Southern & Eastern Region,Ireland,5.6,2.9,5.8,5.6,9.9,9.7,742,747,785,788,788,131,20,1,0.02,0.01,0,0,0.01,0,0.1,0,31.5,30.4,31.7,4.9,9.3,11.4,12.4,9.2,7.8,46.3,45.9,51.1,52.9,52.9,54.3,9.2,11.6,11.9,8.1,4.1,0.5,0.4,0.5,0.9,1.2,0.8,3.1,9.9,10.4,84.5
15037,ALTIDORE,Wicklow,Mid East,Southern & Eastern Region,Ireland,4.9,-1.3,-0.1,4.9,5.7,3.5,301,303,363,365,365,133,32,3,0.01,0.01,0,0,0,0,0.2,0,28.7,34.4,37,11.4,7.7,0,19,16.9,13.6,37,35.4,41.1,48.2,43.3,46.8,13.2,15.4,14.6,8.4,10,0.4,0.4,0.4,1.9,0,1.5,6.8,11.1,10.6,83.3
15038,ARKLOW RURAL,Wicklow,Mid East,Southern & Eastern Region,Ireland,-2.1,-7.4,-6.1,-2.1,-1,-2.3,"1,075","1,067","1,310","1,367",1367,798,338,76,0.03,0.04,0.03,0.02,0.03,0,0.2,0,34,35.6,36.7,14.7,15.9,16.3,23.6,17.2,17.5,24.6,26.9,28.3,34.8,37.3,38.9,18.2,11.5,14.4,16.4,12.4,0.5,0.5,0.5,6.1,5.6,5.2,5.4,11.6,11.3,80
15039,AUGHRIM,Wicklow,Mid East,Southern & Eastern Region,Ireland,0.5,-11.1,-6.8,0.5,-4.9,-2.8,"1,300","1,440","1,760","1,858",1858,1060,513,175,0.04,0.05,0.05,0.05,0.05,0.1,1.9,0.1,30,38,41.3,20.5,23.5,19.8,20.7,18.2,14.4,28.5,26.1,32.1,29.1,30.9,35.5,20.8,20.9,20.3,17.8,15.7,0.5,0.5,0.5,10.1,15.7,14.7,6.2,12.5,14,68.6
15040,AVOCA,Wicklow,Mid East,Southern & Eastern Region,Ireland,-2.2,-12.7,-9.2,-2.2,-6.6,-4.9,734,751,682,744,744,510,227,49,0.02,0.02,0.02,0.01,0.02,0,-0.1,0.1,25.7,30.5,33.2,10.6,21.3,21.3,22.3,22.2,18.6,22.3,22.2,26,26.2,28.7,32.5,27.3,22,20.5,21.5,18.3,0.5,0.5,0.5,13.7,14.6,13.6,3.8,6.9,6,77.7
15041,BALLINACLASH,Wicklow,Mid East,Southern & Eastern Region,Ireland,-6.7,-9.1,-5.8,-6.7,-2.8,-1.8,563,592,636,633,633,361,135,24,0.01,0.02,0.01,0.01,0.01,0.1,0.1,0,37.5,37.6,36.7,12.3,10.9,20.1,27.3,19.5,17.3,24.5,28.3,32.6,37.7,38.7,38.5,28.8,19.9,21.7,16.6,11.5,0.5,0.5,0.5,9.5,8.9,9.7,2.7,6.6,6.9,79.7
15042,BALLINACOR,Wicklow,Mid East,Southern & Eastern Region,Ireland,5.4,-3.7,-1.9,5.4,2.9,2,246,258,309,346,346,146,40,5,0.01,0.01,0,0,0,0,0.2,0.1,31,34,37.6,16.1,14.3,13.6,17.3,11.4,10.2,37.6,33.7,39.5,41.1,43.7,52,9.9,14.6,10.5,17.3,10,0.5,0.5,0.5,1.2,1,0.9,3.6,4.9,12.8,79.5
15043,BALLINDERRY,Wicklow,Mid East,Southern & Eastern Region,Ireland,4.9,-4.7,-2.2,4.9,1.8,2,394,418,459,466,466,196,55,7,0.01,0.01,0.01,0,0.01,0.1,0.1,0,33.3,31.4,33.5,9.4,7.1,15.6,17.4,12.6,12,35.5,31.6,38.1,37.8,41.6,37.6,21.7,14.5,20,12,8.3,0.5,0.5,0.5,0.7,1.3,0.6,5.9,8,11.5,84
